Journal_title,Role,Fname,Lastname,affiliation,Country,email,article_title,eurekaselect_url
Current Vascular Pharmacology,Author,Muhammad,Asad,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Greece,asad@benthamscience.net,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162943
Current Vascular Pharmacology,Author,Shiza,Ahmed,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,shiza@benthamscience.net,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162943
Current Vascular Pharmacology,Author,Sana,Hameed,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Australia,Sana@benthamscience.net,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162943
Current Vascular Pharmacology,Author,Saeeda,Yasmeen,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",China,Saeeda@benthamscience.net,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162944
Current Vascular Pharmacology,Author,Shoaib,hashmi,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Hongkong,Shoaib@benthamscience.net,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162945
Current Vascular Pharmacology,Author,Lazzat,Ali,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Afhanistan,Lazzat@aaas.org,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162945
Current Vascular Pharmacology,Author,Beenish,Ameen,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,Beenish@benthamscience.net,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162946
Current Vascular Pharmacology,Author,Ayesha,Siddiqui,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,Ayesha@benthamscience.net,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162947
Current Vascular Pharmacology,Author,Anum,Khan,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,Anum@google.com,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162948
Current Vascular Pharmacology,Author,Hadi,Jee,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,Hadi@hotmail.com,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162949
Current Vascular Pharmacology,Author,Talha,Khan,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,Talha@yahoo.com,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162950
Current Vascular Pharmacology,Author,Sara,Ali,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,Sara@gmail.com,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162951
Current Vascular Pharmacology,Author,Farhan,Khan,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,Farhan@gmail.com,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162952
Current Vascular Pharmacology,Author,Zain,Ali,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,Zain123@gmail.com,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162953
Current Vascular Pharmacology,Author,Faisal,unsubs,"First Cardiology Clinic, School of Medicine, University of Athens, Athens",Pakistan,faisal@benthamscience.net,"Gender-specific, Lifestyle-related Factors and 10-year Cardiovascular Disease Risk; the ATTICA and GREECS Cohort Studies",http://eurekaselect.com/node/162953
